supplier_name,masterformat_code,website,contact_email,notes
General Shale,04,https://generalshale.com,,America's largest producer of clay brick and sustainable building materials.
Triangle Brick,04,https://www.trianglebrick.com,,Leading brick manufacturer since 1959.
Coronado Stone Products,04,https://coronado.com,,Manufactures architectural stone veneer and thin brick.
U.S. Stone Industries,04,https://usstoneindustries.com,,Natural Kansas limestone.
Sherwin-Williams,09,https://industrial.sherwin-williams.com,,Powdura ECO powder coatings and other sustainable solutions.
PPG Paints,09,https://www.ppgpaints.com,,Zero- or low-VOC products, LEED compliant.
Graphenstone,09,https://graphenstone.com,,Ecological solutions with graphene technology.
Armstrong World Industries,09,https://www.armstrongceilings.com,,Sustain portfolio, recyclable mineral fiber.
Rockfon,09,https://www.rockfon.com,,Stone wool ceiling tiles.
USG (United States Gypsum),09,https://www.usg.com,,Ceiling panels and systems.
